t,position,entry_px,equity,el,xl,es,xs,stop,tp,trail,size,local0,local1
148,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,997778.312,1018640
149,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,996034.312,1018107.06
150,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,994617.375,1017619.19
151,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,993658.125,1017174.81
152,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,992600.875,1016765.25
153,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,991315.312,1016336.5
154,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,989806.312,1015885.94
155,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,987988,1015343.5
156,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,986203.875,1014776.5
157,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,984704.188,1014267.44
158,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,983635.812,1013815.69
159,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,982902.625,1013420.38
160,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,982665.5,1012991.25
161,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,982372.688,1012594.06
162,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,982432.5,1012272.06
163,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,982801.5,1012076
164,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,983154.875,1011835.19
165,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,983851,1011685.5
166,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,983946,1011420.38
167,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,984232.688,1011155.12
168,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,984534.312,1010852.5
169,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,985137.5,1010552.56
170,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,985588.312,1010243.69
171,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,986155.375,1010112
172,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,986429,1009972.5
173,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,987052.812,1009798.75
174,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,987456.5,1009547.12
175,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,988301.375,1009268.56
176,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,988967.375,1008938.06
177,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,988802.312,1008550.75
178,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,988239.5,1008138.81
179,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,987224.875,1007698.38
180,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,986516.625,1007315.44
181,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,985819.688,1006895.12
182,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,984809.875,1006406
183,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,983467.875,1005870.88
184,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,982421.312,1005424
185,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,981339.875,1005046.5
186,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,980602.5,1004640.38
187,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,979641.125,1004155.19
188,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,978926.188,1003660.81
189,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,978132.688,1003192.81
190,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,977527.312,1002731.75
191,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,976626,1002260
192,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,975460.812,1001742.81
193,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,974044.375,1001156.19
194,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,973190.625,1000664
195,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,972422.125,1000184
196,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,971640.812,999621.062
197,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,970927,998958.5
198,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,970301.5,998229.688
199,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,970006.125,997528.312
200,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,969598.688,996885.75
201,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,969093.125,996214.75
202,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,968774.312,995503.625
203,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,968301.375,994754.188
204,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,967278.188,993947.75
205,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,966144.188,993165.688
206,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,965126.312,992380.625
207,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,964139.5,991555.188
208,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,963032.375,990725.062
209,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,961732.312,989815.5
210,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,960270,988896.062
211,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,958598.312,987989.688
212,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,957663.188,987115.438
213,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,957057.625,986289.812
214,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,955872,985364.312
215,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,954743.812,984504.625
216,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,953556.375,983638.375
217,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,952956.312,982742.625
218,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,952457.125,981813.5
219,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,951874.812,980987.062
220,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,951156.125,980171.25
221,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,950751.688,979385.375
222,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,950431,978655.75
223,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,950208.688,977925.125
224,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,950301.312,977342.5
225,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,950333.875,976768.375
226,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,950123.5,976162.562
227,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,949780.625,975473.625
228,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,949413.625,974736.875
229,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,949147.812,974036.812
230,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,949456.625,973491.812
231,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,950316,973070.75
232,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,950938.375,972618.375
233,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,951653.312,972224.625
234,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,952710.125,971806.938
235,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,953830.125,971456.938
236,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,955421.312,971157.938
237,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,956696.375,970817.25
238,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,957631.188,970453.062
239,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,958583.688,970118.312
240,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,959312.375,969849.812
241,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,959772.312,969561.75
242,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,960029.312,969295.375
243,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,961086.312,969173.188
244,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,961965.188,969024.188
245,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,962690.875,968871.938
246,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,963731.625,968705.938
247,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,965130,968584.75
248,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,966375.312,968456.25
249,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,967309.5,968291.812
250,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,967997.812,968167.938
251,0,0,9655.41602,1,0,0,0,0.0199999996,0,0,1,968245.812,967988.312
252,1,966751.312,9654.29395,0,0,0,0,0.0199999996,0,0,1,968456.312,967789.625
253,1,966751.312,9641.42188,0,0,0,0,0.0199999996,0,0,1,968367.375,967635.188
254,1,966751.312,9683.83008,0,0,0,0,0.0199999996,0,0,1,968499.688,967545.812
255,1,966751.312,9690.97168,0,0,0,0,0.0199999996,0,0,1,968432.188,967546
256,1,966751.312,9651.97852,0,0,0,0,0.0199999996,0,0,1,967898.188,967496.938
257,1,966751.312,9699.86133,0,0,0,0,0.0199999996,0,0,1,967843.625,967445.188
258,1,966751.312,9758.88965,0,0,0,0,0.0199999996,0,0,1,968373.688,967400.75
259,1,966751.312,9796.80957,0,0,0,0,0.0199999996,0,0,1,969091,967356.188
260,1,966751.312,9819.8623,0,0,0,0,0.0199999996,0,0,1,970050.875,967327.062
261,1,966751.312,9916.09863,0,0,0,0,0.0199999996,0,0,1,971609,967409.125
262,1,966751.312,9927.80371,0,0,0,0,0.0199999996,0,0,1,973383.812,967485.688
263,1,966751.312,9905.76562,0,0,0,0,0.0199999996,0,0,1,974408.375,967494.625
264,1,966751.312,9874.59473,0,0,0,0,0.0199999996,0,0,1,975309.812,967455.25
265,1,966751.312,9855.43359,0,0,0,0,0.0199999996,0,0,1,976273.625,967356.562
266,1,966751.312,9839.16895,0,0,0,0,0.0199999996,0,0,1,977123.312,967341.5
267,1,966751.312,9803.35254,0,0,0,0,0.0199999996,0,0,1,977677.812,967273.812
268,1,966751.312,9835.96191,0,0,0,0,0.0199999996,0,0,1,978530.125,967255.5
269,1,966751.312,9805.73145,0,0,0,0,0.0199999996,0,0,1,979549.312,967174.312
270,1,966751.312,9770.33594,0,0,0,0,0.0199999996,0,0,1,980057.312,967061.938
271,1,966751.312,9776.60547,0,0,0,0,0.0199999996,0,0,1,980736.5,966904.625
272,1,966751.312,9834.10254,0,0,0,0,0.0199999996,0,0,1,981636.688,966831.188
273,1,966751.312,9831.19336,0,0,0,0,0.0199999996,0,0,1,982586.812,966742
274,1,966751.312,9803.53516,0,0,0,0,0.0199999996,0,0,1,983186,966691.812
275,1,966751.312,9705.53027,0,0,0,0,0.0199999996,0,0,1,983258.875,966537.625
276,1,966751.312,9659.74805,0,0,0,0,0.0199999996,0,0,1,983297.812,966363.062
277,1,966751.312,9685.8125,0,0,0,0,0.0199999996,0,0,1,983227.5,966330.312
278,1,966751.312,9634.13965,0,0,0,0,0.0199999996,0,0,1,982603,966273.375
279,1,966751.312,9616.5166,0,0,0,0,0.0199999996,0,0,1,981700.5,966251.25
280,1,966751.312,9612.68164,0,0,0,0,0.0199999996,0,0,1,980663.375,966156.312
281,1,966751.312,9583.85156,0,0,0,0,0.0199999996,0,0,1,979000,966045.25
282,1,966751.312,9560.70996,0,0,0,0,0.0199999996,0,0,1,977162.188,965956.188
283,1,966751.312,9537.97754,0,0,0,0,0.0199999996,0,0,1,975321,965865.125
284,1,966751.312,9604.02148,0,0,0,0,0.0199999996,0,0,1,973966.375,965764.188
285,1,966751.312,9638.68262,0,0,0,0,0.0199999996,0,0,1,972881.188,965664.812
286,1,966751.312,9641.75977,0,0,0,0,0.0199999996,0,0,1,971892.875,965599.5
287,1,966751.312,9592.72559,0,0,0,0,0.0199999996,0,0,1,970838.5,965513.25
288,1,966751.312,9608.08301,0,0,0,0,0.0199999996,0,0,1,969697.688,965409.75
289,1,966751.312,9615.66016,0,0,0,0,0.0199999996,0,0,1,968746.188,965296.938
290,1,966751.312,9593.43555,0,0,0,0,0.0199999996,0,0,1,967860.625,965128.375
291,1,966751.312,9624.52051,0,0,0,0,0.0199999996,0,0,1,967099.188,964999.125
292,1,966751.312,9632.31055,0,0,0,0,0.0199999996,0,0,1,966088.875,964956.75
293,1,966751.312,9659.94922,0,0,0,0,0.0199999996,0,0,1,965231.625,964979.375
294,1,966751.312,9611.74121,0,1,0,0,0.0199999996,0,0,1,964271.5,964907.812
295,0,0,9597.31445,0,0,0,0,0.0199999996,0,0,1,963907.375,964834.562
296,0,0,9597.31445,0,0,0,0,0.0199999996,0,0,1,963820.625,964798.875
297,0,0,9597.31445,0,0,0,0,0.0199999996,0,0,1,963467.5,964838.312
298,0,0,9597.31445,0,0,0,0,0.0199999996,0,0,1,963453.125,964903.688
299,0,0,9597.31445,0,0,0,0,0.0199999996,0,0,1,963406.125,964931.375
300,0,0,9597.31445,0,0,0,0,0.0199999996,0,0,1,963232,964883.062
301,0,0,9597.31445,0,0,0,0,0.0199999996,0,0,1,963200.875,964866.812
302,0,0,9597.31445,0,0,0,0,0.0199999996,0,0,1,963127.688,964826.875
303,0,0,9597.31445,0,0,0,0,0.0199999996,0,0,1,963105.688,964826.062
304,0,0,9597.31445,0,0,0,0,0.0199999996,0,0,1,962755,964859.625
305,0,0,9597.31445,0,0,0,0,0.0199999996,0,0,1,962304.625,964896.812
306,0,0,9597.31445,0,0,0,0,0.0199999996,0,0,1,961852.5,964944.812
307,0,0,9597.31445,0,0,0,0,0.0199999996,0,0,1,961775.625,965040.625
308,0,0,9597.31445,0,0,0,0,0.0199999996,0,0,1,961765.812,965156.625
